"iid","sv","sd","vtyp","sno","sna","sip","tot","sbi","bemp","sna_sbi_bemp","sarea","mday_num","mday_time","lat","lng","ar","sareaen","snaen","aren","nbcnt","act"
"796","1","20150615161650","1","1165","民生長江路口","","36","12","23","民生長江路口
有車12
有空位23","板橋區","20150720182526","42205.452777778","25.030904","121.463596","民生路三段/長江路一段(64高架橋下方)","Banqiao Dist.","Minsheng & Changjiang Intersection","Sec. 3, Minsheng Rd./Sec. 1, Changjiang Rd.","0","1"
"393","1","20130111095239","1","55","臺北田徑場","192.168.4.58","46","24","21","臺北田徑場
有車24
有空位21","松山區","20150720182526","42205.452777778","25.049505","121.549408","敦化北路3號","Songshan Dist.","Taipei Stadium","No.3, Dunhua N. Rd.","0","1"
"436","1","20130729160122","1","98","羅斯福景隆街口","","48","6","42","羅斯福景隆街口
有車6
有空位42","文山區","20150720182526","42205.452777778","24.999378","121.540197","羅斯福路六段/景隆街交叉口(東南側)","Wenshan Dist.","Roosevelt & Jinglong Intersection","The intersection of Sec. 6, Roosevelt Rd. & Jinglong St. (the S.E. side)","0","1"
"437","1","20130729160229","1","99","捷運雙連站(2號出口)","","42","2","38","捷運雙連站(2號出口)
有車2
有空位38","大同區","20150720182526","42205.452777778","25.057866","121.520711","民生西路/萬全街(東北側)","Datong Dist.","MRT Shuanglian Sta. (Exit 2)","The N.E. side of Minsheng W. Rd. & Wanquan St.","1","1"
"438","1","20130729160345","1","100","金山市民路口","","40","9","31","金山市民路口
有車9
有空位31","中正區","20150720182526","42205.452777778","25.045753","121.530697","金山北路/市民大道三段(南側)","Zhongzheng Dist.","Jinshen & Civic Blvd. Intersection","The S. side of Jinshan N. Rd. & Sec. 3, Civic Blvd.","0","1"
"492","1","20140120085950","1","154","中正基河路口","","38","3","34","中正基河路口
有車3
有空位34","士林區","20150720182526","42205.452777778","25.093396","121.519867","中正路420號前","Shilin Dist.","Zhongzheng & Jihe Intersection","No.420, Zhongzheng Rd.","0","1"
"574","1","20140728142833","1","168","河堤國小","","44","13","31","河堤國小
有車13
有空位31","中正區","20150720182526","42205.452777778","25.02288","121.522855","金門街12巷23弄1號旁","Zhongzheng Dist.","Heti Elementary School","No.1, Aly. 23, Lane 12, Jinmen St.","0","1"
"665","1","20141211161129","1","1051","保長公園","","28","21","6","保長公園
有車21
有空位6","汐止區","20150720182526","42205.452777778","25.079523","121.674342","保長路/保長路45巷","Xizhi Dist.","Baochang Park"," Baochang Rd./Ln. 45, Baochang Rd.","0","1"
"666","1","20141211161242","1","1052","新店公有中央市場","","36","13","23","新店公有中央市場
有車13
有空位23","新店區","20150720182526","42205.452777778","24.975308","121.527287","中央四街64號對面","Xindian Dist.","Zhongyang Market","No.64, Zhongyang 4th St. (opposite)","0","1"
"683","1","20141225182115","1","1067","二重國小","","46","21","20","二重國小
有車21
有空位20","三重區","20150720182526","42205.452777778","25.065976","121.477656","頂崁街164號至188號(對面二重國小)","Sanchong Dist.","Er Chong Elementary School","No.164 to No.188, Dingkan St. (opposite)","0","1"
"378","1","20120725000000","1","40","玉成公園","","34","24","10","玉成公園
有車24
有空位10","南港區","20150720182526","42205.452777778","25.04287","121.5864","玉成街247號前","Nangang Dist.","Yucheng Park","The front of No. 247, Yucheng St.","0","1"
"340","1","20000101000000","1","2","捷運國父紀念館站(2號出口)","10.250.2.1","48","6","38","捷運國父紀念館站(2號出口)
有車6
有空位38","大安區","20150720182526","42205.452777778","25.041","121.556945","忠孝東路四段/光復南路口(西南側)","Daan Dist.","MRT S.Y.S Memorial Hall Stataion(Exit 2.)","Sec,4. Zhongxiao E.Rd/GuangFu S. Rd","0","1"
"341","1","20000101000000","1","3","台北市政府","10.250.3.1","40","35","5","台北市政府
有車35
有空位5","信義區","20150720182526","42205.452777778","25.0377972222","121.565169444","台北市政府東門(松智路) ","Xinyi Dist.","Taipei City Hall","Taipei City Government Eastgate (Song Zhi Road)","0","1"
"342","1","20000101000000","1","4","市民廣場","10.250.4.1","60","33","27","市民廣場
有車33
有空位27","信義區","20150720182526","42205.452777778","25.0360361111","121.562325","市府路/松壽路(西北側) ","Xinyi Dist.","Citizen Square","The N.W. side of Road Shifu & Road Song Shou.","0","1"
"343","1","20000101000000","1","5","興雅國中","10.250.3.1","60","18","42","興雅國中
有車18
有空位42","信義區","20150720182526","42205.452777778","25.0365638889","121.5686639","松仁路/松仁路95巷(東南側)","Xinyi Dist.","Xingya Jr. High School","","0","1"
"344","1","20000101000000","1","6","世貿二館","10.250.6.1","80","44","34","世貿二館
有車44
有空位34","信義區","20150720182526","42205.452777778","25.0347361111","121.565658333","松智路/松廉路(東北側) ","Xinyi Dist.","TWTC Exhibition Hall 2","The N.E. side of Road Song Zhi & Road Song Lian.","0","1"
"345","1","20000101000000","1","7","信義廣場(台北101)","10.250.7.1","80","0","72","信義廣場(台北101)
有車0
有空位72","信義區","20150720182526","42205.452777778","25.0330388889","121.565619444","松智路/信義路(東北側) ","Xinyi Dist.","Xinyi Square(Taipei 101)","The N.E. side of Road Song Zhi & Road Xinyi.","0","1"
"346","1","20000101000000","1","8","世貿三館","10.250.8.1","60","29","31","世貿三館
有車29
有空位31","信義區","20150720182526","42205.452777778","25.0352138889","121.563688889","市府路/松壽路(東南側) ","Xinyi Dist.","TWTC Exhibition Hall 3","The S.E. side of Road Shifu & Road Song Shou.","0","1"
"348","1","20000101000000","1","10","台北市災害應變中心","10.250.10.1","54","31","23","台北市災害應變中心
有車31
有空位23","信義區","20150720182526","42205.452777778","25.0286611111","121.566116667","台北市信義區莊敬路391巷11弄2號","Xinyi Dist.","Emergency Operations Center of Taipei City","No.2, Aly. 11, Ln. 391, Zhuangjing Rd.","0","1"
"349","1","20000101000000","1","11","三張犁","10.250.11.1","66","4","59","三張犁
有車4
有空位59","信義區","20150720182526","42205.452777778","25.034937","121.55762","光復南路/基隆路一段364巷","Xinyi Dist.","Sanchangli","The S.E. side of Road Guangfu South & Ln. 346, Sec. 1, Keelung Rd.","0","1"
"350","1","20120725000000","1","12","臺北醫學大學","","34","15","19","臺北醫學大學
有車15
有空位19","信義區","20150720182526","42205.452777778","25.026679","121.561747","台北醫學大學(吳興街220巷59弄)","Xinyi Dist.","Taipei Medical University","Aly. 59, Ln. 220, Wuxing St.","0","1"
"351","1","20120725000000","1","13","福德公園","","66","25","31","福德公園
有車25
有空位31","信義區","20150720182526","42205.452777778","25.03809","121.58367","大道路/福德街路口北西側","Xinyi Dist.","Fude Park","The N.W. side of Road Dadao & St. Fude.","2","1"
"352","1","20120725000000","1","14","榮星花園","","32","28","4","榮星花園
有車28
有空位4","中山區","20150720182526","42205.452777778","25.06424","121.54037","五常街/龍江路口(西南側)","Zhongshan Dist.","Rongxing Park","The S.W. side of St.Wuchang & Road Longjiang.","0","1"
"353","1","20120725000000","1","15","饒河夜市","","60","16","43","饒河夜市
有車16
有空位43","松山區","20150720182526","42205.452777778","25.049845","121.571885","八德路/松信路(西南側)","Songshan Dist.","Raohe Night Market","The S.W. side of Road Bade & Road SongXiny.","0","1"
"354","1","20120725000000","1","16","松山家商","","48","2","45","松山家商
有車2
有空位45","信義區","20150720182526","42205.452777778","25.036084","121.579135","林口街/福德街(南東側)","Xinyi Dist.","Songshan Vocational High School","The S.E. side of St. Linkou & St. Fude.","0","1"
"355","1","20120725000000","1","17","民生光復路口","","34","7","27","民生光復路口
有車7
有空位27","松山區","20150720182526","42205.452777778","25.0584","121.55504","光復北路/民生東路(西北側)","Songshan Dist.","Minsheng & Guangfu Intersection","The N.W. side of Road Guangfu S & Road Minsheng E.","0","1"
"356","1","20120725000000","1","18","社教館","","38","27","11","社教館
有車27
有空位11","松山區","20150720182526","42205.452777778","25.048268","121.552278","八德路三段25號前","Songshan Dist.","Taipei Cultural Center","No.25, Sec. 3, Bade Rd.","0","1"
"357","1","20120725000000","1","19","中強公園","","30","9","21","中強公園
有車9
有空位21","信義區","20150720182526","42205.452777778","25.02863","121.56981","松仁路153巷17號對面","Xinyi Dist.","Zhongqiang Park","No.17, Ln. 153, Songren Rd","0","1"
"358","1","20120725000000","1","20","捷運科技大樓站","","56","54","1","捷運科技大樓站
有車54
有空位1","大安區","20150720182526","42205.452777778","25.025896","121.543293","科技大樓站對面(復興南路2段西側)","Daan Dist.","MRT Technology Bldg. Sta.","No.235, Sec. 2, Fusing S. Rd.","0","1"
"359","1","20120725000000","1","21","民生敦化路口","","66","23","42","民生敦化路口
有車23
有空位42","松山區","20150720182526","42205.452777778","25.057985","121.548982","敦化民生路口公車站旁","Songshan Dist.","Minsheng & Dunhua Intersection","The side of bus stop- Dunhua Minsheng Intersection.","1","1"
"360","1","20120725000000","1","22","松山車站","","44","2","42","松山車站
有車2
有空位42","松山區","20150720182526","42205.452777778","25.048616","121.578095","松山車站西出口外自行車格內","Songshan Dist.","Songshan Rail Sta.","Bicycle parking lot- West exit in Songshan station","0","1"
"362","1","20120725000000","1","24","信義建國路口","","46","0","44","信義建國路口
有車0
有空位44","大安區","20150720182526","42205.452777778","25.032981","121.537328","信義路三段/建國南路二段(西南側)","Daan Dist.","Xinyi & Jianguo Intersection","The N.S. side of Lianyun St. & Sec. 2, Xinyi Rd.","0","1"
"363","1","20120725000000","1","25","永吉松信路口","","30","12","18","永吉松信路口
有車12
有空位18","信義區","20150720182526","42205.452777778","25.04543","121.57205","松信路/永吉路南西側人行道","Xinyi Dist.","Yongji & Songxin Intersection","The sidewalk- the S.W. side of Songxin Rd. & Yongji Rd.","0","1"
"364","1","20120725000000","1","26","捷運昆陽站(1號出口)","","42","0","41","捷運昆陽站(1號出口)
有車0
有空位41","南港區","20150720182526","42205.452777778","25.050142","121.592375","捷運昆陽站1號出口外停車場旁","Nangang Dist.","MRT Kunyang Sta. (Exit 1)","The side of parking lots in the MRT Kunyang station (exit 1)","0","1"
"365","1","20120725000000","1","27","捷運南港展覽館站(5號出口)","","26","19","6","捷運南港展覽館站(5號出口)
有車19
有空位6","南港區","20150720182526","42205.452777778","25.05469","121.61669","研究院路/市民大道(東北側)","Nangang Dist.","MRT Nangang Exhibition Center Sta. (Exit 5)","The N.E side of Academia Rd. & Shihmin Blvd.","0","1"
"366","1","20120725000000","1","28","五常公園","","36","8","26","五常公園
有車8
有空位26","信義區","20150720182526","42205.452777778","25.04814","121.57467","松隆路/虎林街30巷口(西南側)","Xinyi Dist.","Wuchang Park","The S.W side of Songlong Rd. & Hulin St.","0","1"
"368","1","20120725000000","1","30","基隆長興路口","","74","2","72","基隆長興路口
有車2
有空位72","大安區","20150720182526","42205.452777778","25.017054","121.544352","基隆路/長興街(東南側)","Daan Dist.","Keelung & Changxing Intersection","The S.W side of Keelung Rd. & Changsing St.","0","1"
"369","1","20120725000000","1","31","辛亥新生路口","","30","10","20","辛亥新生路口
有車10
有空位20","大安區","20150720182526","42205.452777778","25.022413","121.53456","辛亥路/新生南路(高架橋下)","Daan Dist.","Xinhai & Xinsheng Intersection","Under the bridge- Sinhai Rd. & Shinsheng S. Rd.","0","1"
"370","1","20120725000000","1","32","捷運六張犁站","","30","11","19","捷運六張犁站
有車11
有空位19","大安區","20150720182526","42205.452777778","25.023884","121.553161","捷運出口外和平東路側","Daan Dist.","MRT Liuzhangli Sta.","The outside of the MRT exit and the side of Heping E. Rd.","0","1"
"371","1","20120725000000","1","33","中崙高中","","46","3","42","中崙高中
有車3
有空位42","松山區","20150720182526","42205.452777778","25.04878","121.56087","八德路四段91巷(中崙高中)旁","Songshan Dist.","Zhonglun High School","The side of Ln. 91, Sec. 4, Bade Rd. ( beside Zhong-Lun High School)","0","1"
"372","1","20120725000000","1","34","捷運行天宮站(1號出口)","","32","6","26","捷運行天宮站(1號出口)
有車6
有空位26","中山區","20150720182526","42205.452777778","25.058369","121.532934","捷運行天宮1號出口後方(松江路側)","Zhongshan Dist.","MRT Xingtian Temple Sta. (Exit 1)","The side of Songjiang Rd.(the exit 1 of the MRT station of Xingtian Temple)","0","1"
"373","1","20120725000000","1","35","捷運行天宮站(3號出口)","","30","0","29","捷運行天宮站(3號出口)
有車0
有空位29","中山區","20150720182526","42205.452777778","25.059978","121.533302","捷運行天宮站3號出口站外","Zhongshan Dist.","MRT Xingtian Temple Sta. (Exit 3)","The outside of the MRT station of Xingtian Temple.","0","1"
"374","1","20120725000000","1","36","臺大資訊大樓","","72","52","20","臺大資訊大樓
有車52
有空位20","大安區","20150720182526","42205.452777778","25.02101","121.54153","辛亥路二段(臺大外語學院外)","Daan Dist.","NTU Information Bldg.","Sec. 2, Xinghai Rd. (the outside ofLanguage Center of National Taiwan University)","0","1"
"375","1","20120725000000","1","37","捷運東門站(4號出口)","","46","29","16","捷運東門站(4號出口)
有車29
有空位16","大安區","20150720182526","42205.452777778","25.0337","121.529166","信義路/麗水街口","Daan Dist.","MRT Dongmen Sta. (Exit 4)","Ren’ai Rd. & Lishuei St. ","0","1"
"376","1","20120725000000","1","38","臺灣師範大學(圖書館)","","34","18","16","臺灣師範大學(圖書館)
有車18
有空位16","大安區","20150720182526","42205.452777778","25.02665","121.52889","和平東路/師大路口(北側)","Daan Dist.","NTNU Library","The N. side of Heping E. Rd. & Shihda Rd.","0","1"
"377","1","20120725000000","1","39","南港世貿公園","","26","18","8","南港世貿公園
有車18
有空位8","南港區","20150720182526","42205.452777778","25.058","121.61422","三重路/經貿二路88巷(東北側)","Nangang Dist.","Nangang Park","The N.E. side of Sanchong Rd. & Ln. 88, Jingmao 2nd Rd.","0","1"
"379","1","20120725000000","1","41","中研公園","192.168.4.44","30","10","18","中研公園
有車10
有空位18","南港區","20150720182526","42205.452777778","25.047425","121.613706","研究院路二段12巷/研究院路二段12巷58弄(西南側)","Nangang Dist.","Academia Park","The S.W side of Ln. 12, Sec. 2, Academia Rd. & Aly. 58, Ln. 12, Sec. 2, Academia Rd.","0","1"
"381","1","20121128130528","1","43","凌雲市場","192.168.4.49","36","4","31","凌雲市場
有車4
有空位31","南港區","20150720182526","42205.452777778","25.035639","121.614154","研究院路三段68巷/凌雲街(東北側)","Nangang Dist.","Linyun Market","The N.E. side of St. Lingyun & Academia Rd.","1","1"
"382","1","20121128131023","1","44","捷運南港軟體園區站(2號出口)","192.168.4.45","36","12","24","捷運南港軟體園區站(2號出口)
有車12
有空位24","南港區","20150720182526","42205.452777778","25.05973","121.616187","捷運南港軟體園區站2號出口外","Nangang Dist. ","MRT Nangang Software Park Sta.(Exit 2)","The outside of the MRT station exit 2 of Taipei Nangang Exhibition Center","0","1"
"383","1","20121128131220","1","45","捷運公館站(2號出口)","192.168.4.48 ","30","11","19","捷運公館站(2號出口)
有車11
有空位19","大安區","20150720182526","42205.452777778","25.01476","121.534538","羅斯福路四段/舟山路(東北側)","Daan Dist. ","MRT Gongguan Sta.(Exit 2)","The N.W. side of Roosevelt Rd.& Sinhai Rd.","0","1"
"385","1","20121219100534","1","47","捷運忠孝新生(3號出口)","192.168.4.50","40","10","29","捷運忠孝新生(3號出口)
有車10
有空位29","大安區","20150720182526","42205.452777778","25.041924","121.533862","捷運忠孝新生(3號出口)","Daan Dist.","MRT Zhongxiao Xinsheng Sta.(Exit 3)","The intersection of Sec. 3, Zhongxiao E. Rd. & Ln. 10, Sec. 3, Zhongxiao E. Rd.","0","1"
"386","1","20121219100955","1","48","南港車站","192.168.4.51","38","23","15","南港車站
有車23
有空位15","南港區","20150720182526","42205.452777778","25.05247","121.608202","忠孝東路七段與忠孝東路七段415巷交叉口","Nangang Dist.","Nangang Rail Sta.","The intersection of Sec. 7, Zhongxiao E. Rd. & Ln. 415, Sec. 7, Zhongxiao E. Rd","0","1"
"387","1","20121219102000","1","49","龍門廣場","192.168.4.52 ","52","40","12","龍門廣場
有車40
有空位12","大安區","20150720182526","42205.452777778","25.040901","121.548252","忠孝東路/敦化南路(西南側廣場）","Daan Dist.","Longmen Square","Sec. 1, Dunhua S. Rd. & Ln. 236, Sec. 1, Dunhua S. Rd.","0","1"
"388","1","20121219102311","1","50","民權運動公園","192.168.4.53","52","6","46","民權運動公園
有車6
有空位46","松山區","20150720182526","42205.452777778","25.062002","121.560186","民權東路四段/新中街交叉口","Songshan Dist.","MinQuan Park","The intersection of Sec. 4, Mincyuan E. Rd. & Xinzhong St.","0","1"
"615","0","20141028184722","1","1034","中原公園","","58","0","0","中原公園
有車0
有空位0","蘆洲區","20150720182526","42205.452777778","25.083316","121.463894","長興路22號前通道","Luzhou Dist.","Zhung Yuan Park","No.22, Changxing Rd.","0","0"
"389","1","20121231090803","1","51","建國農安街口","192.168.4.54 ","44","16","28","建國農安街口
有車16
有空位28","中山區","20150720182526","42205.452777778","25.065031","121.536775","建國北路/農安街口(中油旁邊空地)","Zhongshan Dist.","Jianguo & Nongan Intersection","(Behind empty area of CPC coporation) Jianguo N. Rd. & Nong’an St.","0","1"
"390","1","20121231091320","1","52","建國長春路口","192.168.4.55 ","30","6","24","建國長春路口
有車6
有空位24","中山區","20150720182526","42205.452777778","25.054761","121.536925","建國北路/長春路口(北側)","Zhongshan Dist.","Jianguo & Changchun Intersection","The N. side of Jianguo N. Rd. & Changchun Rd.","0","1"
"391","1","20121231091535","1","53","八德市場","192.168.4.56 ","26","3","23","八德市場
有車3
有空位23","中山區","20150720182526","42205.452777778","25.044781","121.536609","建國南路一段/市民大道交叉口(北側) ","Zhongshan Dist.","Bade Market","The intersection of Sec.1, Jianguo S. Rd. & Civic Blvd.","0","1"
"392","1","20130111095018","1","54","臺北市立圖書館(總館)","","30","5","25","臺北市立圖書館(總館)
有車5
有空位25","大安區","20150720182526","42205.452777778","25.028798","121.538073","建國南路二段/建國南路二段151巷(東北側)","Daan Dist.","Taipei Public Library","The N.E. side of Sec. 2, Jianguo S. Rd. & Ln. 151, Sec. 2, Jianguo S. Rd.","0","1"
"394","1","20130111095451","1","56","仁愛林森路口","192.168.4.59","42","11","31","仁愛林森路口
有車11
有空位31","中正區","20150720182526","42205.452777778","25.038954","121.522334","林森南路/仁愛路一段路口(東北側)","Zhongzheng Dist.","Renai & Linsen Intersection","The N.E. side of Linsen S. Rd & Sec. 1, Ren’ai Rd.(42)","0","1"
"395","1","20130201085924","1","57","新生和平路口","","46","4","42","新生和平路口
有車4
有空位42","大安區","20150720182526","42205.452777778","25.026217","121.53519","新生南路二段/和平東路二段(東北側)","Daan Dist.","Xinsheng & Heping Intersection","The N.E. side of Sec. 2, Xinsheng S. Rd. & Sec. 2, Heping E. Rd","0","1"
"396","1","20130201090323","1","58","捷運善導寺站(1號出口)","192.168.4.61","48","8","40","捷運善導寺站(1號出口)
有車8
有空位40","中正區","20150720182526","42205.452777778","25.045267","121.5222","天津街/忠孝東路一段(東北側)","Zhongzheng Dist.","MRT Shandao Temple Sta(Exit 1)","The N.E. side of Tianjin St. & Sec. 1, Zhongxiao E. Rd.","0","1"
"397","1","20130208103613","1","59","林森公園","","32","2","30","林森公園
有車2
有空位30","中山區","20150720182526","42205.452777778","25.052227","121.525805","林森北路/南京東路一段","Zhongshan Dist.","Linsen Park","Linsen N. Rd. & Sec. 1, Nanjing E. Rd.","0","1"
"398","1","20130208103812","1","60","中山行政中心","","30","0","30","中山行政中心
有車0
有空位30","中山區","20150720182526","42205.452777778","25.064317","121.533487","松江路/農安街口","Zhongshan Dist.","Zhongshan Dist. Admin. Office","Songjiang Rd. & Nong’an St.","0","1"
"399","1","20130304200547","1","61","台灣科技大學","192.168.4.64","46","0","46","台灣科技大學
有車0
有空位46","大安區","20150720182526","42205.452777778","25.0131","121.539723","基隆路四段/基隆路四段73巷交叉口","Daan Dist.","N.T.U.S.T","The intersection of Sec. 4, Keelung Rd. & Ln. 73, Sec. 4, Keelung Rd","0","1"
"400","1","20130304200723","1","62","南昌公園","192.168.4.65","34","10","22","南昌公園
有車10
有空位22","中正區","20150720182526","42205.452777778","25.026827","121.520258","和平西路一段/南昌路","Zhongzheng Dist.","Nanchang Park","Sec. 1, Heping W. Rd.& Nanchang Rd.","0","1"
"401","1","20130304201131","1","63","仁愛醫院","192.168.4.66","36","12","24","仁愛醫院
有車12
有空位24","大安區","20150720182526","42205.452777778","25.037569","121.545632","大安路一段/仁愛路四段","Daan Dist.","Taipei City Hospital Renai Branch","Da’an Rd. & Sec. 4, Sinyi Rd.","0","1"
"402","1","20130408163632","1","64","國家圖書館","192.168.4.67","50","27","23","國家圖書館
有車27
有空位23","中正區","20150720182526","42205.452777778","25.037773","121.517029","中山南路/貴陽街口(西南側)","Zhongzheng Dist.","National Central Library","The S.W. side of Zhongshan S. Rd. & Guiyang St.","0","1"
"403","1","20130507090740","1","65","青年公園3號出口","192.168.4.68","38","18","20","青年公園3號出口
有車18
有空位20","萬華區","20150720182526","42205.452777778","25.022725","121.502708","青年路/青年路106巷(東側)","Wanhua Dist.","Youth Park Exit 3","The E. side of Qingnian Rd. & Ln. 106, Qingnian Rd.","0","1"
"404","1","20130507091052","1","66","師範大學公館校區","192.168.4.69","42","11","31","師範大學公館校區
有車11
有空位31","文山區","20150720182526","42205.452777778","25.007528","121.537188","師大公館校區校門口(汀州路側)","Wenshan Dist.","NTNU Gongguan Campus","The side of Tingzhou Rd. (National Taiwan Normal University- Gongguan Campus)","0","1"
"405","1","20130507091530","1","67","捷運臺大醫院(4號出口)","","48","1","46","捷運臺大醫院(4號出口)
有車1
有空位46","中正區","20150720182526","42205.452777778","25.042973","121.516428","公園路/襄陽路(西南側)","Zhongzheng Dist.","MRT Nat’l Taiwan U. Hospital Sta.(Exit 4)","The S.W. side of Gongyuan Rd. & Siangyang Rd.","0","1"
